product_id,title,url,price,area,toilet,location,description
42819911,"Cho thuê shophouse 70m2 giá cực chất 10,5 triệu/tháng ở Hải Âu 3, Gia Lâm, Hà Nội",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-duong-hai-au-3-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cho-70m2-cuc-chat-10-5-trieu-o-3-ha-noi-pr42819911,"10,5 triệu/tháng",70.0,2.0,"Gia Lâm, Hà Nội","Mở ra cơ hội cho các bạn trẻ với căn shophouse siêu xịn tại Vinhomes Ocean Park Gia Lâm. Căn này có diện tích 70m², 2PN, 2WC, 2 tầng, không nội thất, phù hợp cho việc kinh doanh hoặc làm văn phòng.- Giá thuê chỉ 10,5 triệu VND/th, cực kỳ hợp lý cho vị trí đắc địa. - Mặt tiền rộng 5.5m, tha hồ trưng bày hàng hóa. - Ngõ trước rộng 10m, dễ dàng cho xe cộ di chuyển.Khu vực xung quanh: - Gần siêu thị Utimart và Winmart tại Vincom Ocean Park. - Trường ..."
42117522,"Cho thuê shophouse nhà phố Thuận An, Trâu Quỳ Gia Lâm, đối diện hồ Gia Lâm, kinh doanh cực tốt",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-thi-tran-trau-quy-prj-du-an-thuan-an/cho-thu-gia-lam-doi-dien-ho-gia-lam-kinh-doh-cuc-tot-pr42117522,30 triệu/tháng,90.0,,"Gia Lâm, Hà Nội",
42756074,"Cho thuê MBKD shophouse toà M3 Masteri, OCP1 đã đập thông 3 căn, đầy đủ công năng",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-duong-quoc-lo-5b-xa-da-ton-prj-masteri-waterfront/cho-mbkd-toa-m3-ocp1-p-thong-3-can-y-du-cong-nang-pr42756074,17 triệu/tháng,230.0,2.0,"Gia Lâm, Hà Nội",
42756193,"Cho thuê shophouse S1 - 06 OCP1 diện tích 68+62m2, đập thông tầng 1-2",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cho-s1-06-ocp1-dien-tich-68m2-pr42756193,50 triệu/tháng,130.0,1.0,"Gia Lâm, Hà Nội",
41613365,Cho thuê shop chân đế P3 - Vinhomes Ocean Park 1 - giá 10tr 0965 790 ***,https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-duong-ly-thanh-tong-xa-duong-xa-prj-the-pavilion-vinhomes-ocean-park/cho-shop-chan-de-p3-1-gia-10tr-pr41613365,10 triệu/tháng,40.0,,"Gia Lâm, Hà Nội",
40118935,"Chính chủ cho thuê căn shop đế mặt đường Lý Thanh Tông MT 9,5m thích hợp làm quán cafe, siêu thị",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-duong-ly-thanh-tong-xa-duong-xa-prj-the-pavilion-vinhomes-ocean-park/chinh-chu-cho-can-shop-de-mat-mt-9-5m2-thich-hop-lam-quan-cafe-sieu-thi-pr40118935,26 triệu/tháng,50.0,1.0,"Gia Lâm, Hà Nội",
42755667,"Cho thuê NP mặt phố 90m2, 15 triệu/th, Thị trấn Trâu Quỳ, Gia Lâm, HN, view đẹp",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-thi-tran-trau-quy-prj-du-an-thuan-an/cho-np-mat-90m2-15-trieu-gia-lam-hn-view-dep-pr42755667,15 triệu/tháng,90.0,,"Gia Lâm, Hà Nội",
42756191,"Cho thuê Shophouse San Hô. DT 180m2, 5T, Lô góc, Vào KD ngay. Giá 18 triệu/ tháng",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cho-san-ho-dt-180m2-5t-lo-goc-vao-kd-ngay-18-trieu-thang-pr42756191,18 triệu/tháng,180.0,4.0,"Gia Lâm, Hà Nội",
42305505,Cho thuê căn shophouse diện tích lớn nhất dự án hơn 500m2,https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cho-can-dien-tich-lon-nhat-du-an-hon-500m2-pr42305505,35 triệu/tháng,103.0,5.0,"Gia Lâm, Hà Nội",
40919214,"Cho thuê shophouse 5 tầng. Đã hoàn thiện full. Giá 15 triệu/ tháng, tốt nhất thị trường",https://batdongsan.com.vn/cho-thue-shophouse-nha-pho-thuong-mai-duong-sao-bien-1-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/cho-5-tang-da-hoan-thien-full-15-trieu-thang-tot-nhat-thi-truong-pr40919214,15 triệu/tháng,152.0,4.0,"Gia Lâm, Hà Nội",
